NAME,SURNAME,EMAIL,CLASS,LV1,GRADE_LV1,GROUP_LV1,LV2,GRADE_LV2,GROUP_LV2,EXTRA_TIME,STATUS
MARTIN,Lucas,john.doe@example.com,1A,Anglais,9.85,G14,ESPAGNOL,4.35,G2,1,PRESENT
BERNARD,Emma,emma.smith@example.com,1A,Anglais,8.73,G11,ESPAGNOL,8.93,G7,1,PRESENT
DUBOIS,Gabriel,david.johnson@example.com,1A,Anglais,7.91,G10,ESPAGNOL,3.04,G1,1,PRESENT
THOMAS,"Léa",sarah.williams@example.com,1A,Anglais,6.47,G5,ESPAGNOL,7.68,G5,1,PRESENT
ROBERT,Louis,james.brown@example.com,1A,Anglais,8.56,G11,ESPAGNOL,2.47,G1,1,PRESENT
RICHARD,"Chloé",emily.jones@example.com,1A,Anglais,3.72,G4,ESPAGNOL,9.39,G7,1,PRESENT
PETIT,Adam,michael.davis@example.com,1A,Anglais,7.38,G9,ESPAGNOL,6.01,G4,1,PRESENT
DURAND,Manon,olivia.miller@example.com,1A,Anglais,6.92,G7,ESPAGNOL,5.59,G3,1,PRESENT
LEROY,Hugo,robert.wilson@example.com,1A,Anglais,8.25,G10,ESPAGNOL,4.18,G2,1,PRESENT
MOREAU,Jade,sophia.moore@example.com,1A,Anglais,9.03,G12,ESPAGNOL,8.77,G6,1,PRESENT
SIMON,Nathan,william.taylor@example.com,1A,Anglais,4.87,G4,ESPAGNOL,2.88,G1,1,PRESENT
LAURENT,"Inès",isabella.anderson@example.com,1A,Anglais,6.81,G7,ESPAGNOL,7.23,G5,1,PRESENT
LEFEBVRE,Ethan,benjamin.thomas@example.com,1A,Anglais,8.99,G12,ESPAGNOL,6.04,G4,1,PRESENT
MICHEL,Camille,mia.jackson@example.com,1A,Anglais,9.57,G14,ESPAGNOL,5.62,G3,1,PRESENT
GARCIA,"Léo",ethan.white@example.com,1A,Anglais,2.36,G3,ESPAGNOL,4.03,G2,1,PRESENT
DAVID,Sarah,ava.harris@example.com,1A,Anglais,6.36,G5,ESPAGNOL,8.48,G6,1,PRESENT
ROUX,"Théo",alexander.martin@example.com,1A,Anglais,8.87,G12,ESPAGNOL,3.67,G2,1,PRESENT
VINCENT,"Zoé",madison.thompson@example.com,1A,Anglais,9.44,G13,ESPAGNOL,9.17,G7,1,PRESENT
FOURNIER,"Raphaël",daniel.garcia@example.com,1A,Anglais,7.29,G8,ESPAGNOL,5.85,G4,1,PRESENT
MOREL,Louise,chloe.martinez@example.com,1A,Anglais,6.58,G6,ALLEMAND,3.48,G1,1,PRESENT
GIRARD,Arthur,matthew.robinson@example.com,1A,Anglais,3.14,G3,ESPAGNOL,4.97,G3,1,PRESENT
"ANDRÉ",Emma,amelia.clark@example.com,1A,Anglais,9.68,G14,ESPAGNOL,8.63,G6,1,PRESENT
LEFEVRE,Jules,joseph.rodriguez@example.com,1A,Anglais,4.55,G4,ESPAGNOL,3.19,G1,1,PRESENT
MERCIER,Alice,harper.lewis@example.com,1A,Anglais,6.69,G6,ESPAGNOL,7.79,G6,1,PRESENT
DUPONT,Tom,samuel.hall@example.com,1A,Anglais,8.47,G10,ESPAGNOL,2.55,G1,1,PRESENT
LAMBERT,Eva,elizabeth.allen@example.com,1A,Anglais,2.27,G3,ESPAGNOL,9.07,G7,1,PRESENT
BONNET,Noah,jacob.young@example.com,1A,Anglais,5.03,G4,ESPAGNOL,6.97,G5,1,PRESENT
"FRANÇOIS",Lina,grace.phillips@example.com,1A,Anglais,6.77,G7,ESPAGNOL,5.23,G3,1,PRESENT
MARTINEZ,Liam,michael.king@example.com,1A,Anglais,4.61,G4,ESPAGNOL,4.89,G3,1,PRESENT
BRUN,Clara,lily.cook@example.com,1A,Anglais,9.36,G13,ESPAGNOL,8.26,G6,1,PRESENT
ROUSSEAU,Mathis,logan.lopez@example.com,1A,Anglais,7.19,G8,ESPAGNOL,3.44,G2,1,PRESENT
ROUSSEL,Rose,mia.hill@example.com,1A,Anglais,1.63,G2,ESPAGNOL,9.48,G7,1,PRESENT
PIERRE,Nathan,lucas.scott@example.com,1A,Anglais,8.73,G11,ESPAGNOL,6.73,G5,1,PRESENT
GUERIN,Anna,avery.green@example.com,1A,Anglais,9.84,G14,ESPAGNOL,5.07,G3,1,PRESENT
MALLET,Enzo,jack.adams@example.com,1A,Anglais,7.91,G10,ESPAGNOL,4.59,G2,0,PRESENT
DUMAS,"Léna",sophia.mitchell@example.com,1A,Anglais,0.72,G1,ESPAGNOL,8.84,G6,0,PRESENT
LEMAIRE,Sacha,benjamin.carter@example.com,1A,Anglais,8.56,G11,ESPAGNOL,3.03,G1,0,PRESENT
FAURE,Elsa,riley.perez@example.com,1A,Anglais,9.12,G13,ESPAGNOL,7.67,G5,0,PRESENT
DESCHAMPS,Gabin,dylan.roberts@example.com,1A,Anglais,7.38,G9,ESPAGNOL,2.41,G1,0,PRESENT
NOEL,Juliette,ella.turner@example.com,1A,Anglais,4.92,G4,ESPAGNOL,9.36,G7,0,PRESENT
MENARD,"Timéo",noah.wright@example.com,1A,Anglais,8.25,G10,ESPAGNOL,6.22,G4,0,PRESENT
MEUNIER,Manon,charlotte.garcia@example.com,1A,Anglais,9.03,G12,ESPAGNOL,5.69,G3,0,PRESENT
MARCHAND,"Maël",liam.howard@example.com,1A,Anglais,3.64,G4,ESPAGNOL,4.31,G2,0,PRESENT
NICOLAS,Emma,amelia.morris@example.com,1A,Anglais,6.81,G7,ESPAGNOL,8.96,G7,0,PRESENT
HUBERT,Noah,jackson.baker@example.com,1A,Anglais,2.99,G3,ESPAGNOL,3.06,G1,0,PRESENT
RENAULT,"Chloé",abigail.bailey@example.com,1A,Anglais,9.57,G14,ESPAGNOL,7.51,G5,0,PRESENT
LEMOINE,Ethan,lucas.rivera@example.com,1A,Anglais,7.76,G10,ESPAGNOL,6.37,G4,0,PRESENT
DUPUIS,"Inès",ella.cooper@example.com,1A,Anglais,6.36,G5,ESPAGNOL,5.93,G4,0,PRESENT
CHEVALIER,Noah,oliver.wood@example.com,1A,Anglais,8.87,G12,ESPAGNOL,4.45,G2,0,PRESENT
BOUCHARD,"Léa",emma.reed@example.com,1A,Anglais,9.44,G13,ESPAGNOL,8.82,G6,0,PRESENT
