Nom;Prénom;Mail;Etat;Commence;terminé;tempas passe;Note/10
MARTIN;Lucas;;;;;;4,35
BERNARD;Emma;;;;;;8,93
DUBOIS;Gabriel;;;;;;3,04
THOMAS;Léa;;;;;;7,68
ROBERT;Louis;;;;;;2,47
RICHARD;Chloé;;;;;;9,39
PETIT;Adam;;;;;;6,01
DURAND;Manon;;;;;;5,59
LEROY;Hugo;;;;;;4,18
MOREAU;Jade;;;;;;8,77
SIMON;Nathan;;;;;;2,88
LAURENT;Inès;;;;;;7,23
LEFEBVRE;Ethan;;;;;;6,04
MICHEL;Camille;;;;;;5,62
GARCIA;Léo;;;;;;4,03
DAVID;Sarah;;;;;;8,48
ROUX;Théo;;;;;;3,67
VINCENT;Zoé;;;;;;9,17
FOURNIER;Raphaël;;;;;;5,85
MOREL;Louise;;;;;;6,52
GIRARD;Arthur;;;;;;4,97
ANDRÉ;Emma;;;;;;8,63
LEFEVRE;Jules;;;;;;3,19
MERCIER;Alice;;;;;;7,79
DUPONT;Tom;;;;;;2,55
LAMBERT;Eva;;;;;;9,07
BONNET;Noah;;;;;;6,97
FRANÇOIS;Lina;;;;;;5,23
MARTINEZ;Liam;;;;;;4,89
BRUN;Clara;;;;;;8,26
ROUSSEAU;Mathis;;;;;;3,44
ROUSSEL;Rose;;;;;;9,48
PIERRE;Nathan;;;;;;6,73
GUERIN;Anna;;;;;;5,07
MALLET;Enzo;;;;;;4,59
DUMAS;Léna;;;;;;8,84
LEMAIRE;Sacha;;;;;;3,03
FAURE;Elsa;;;;;;7,67
DESCHAMPS;Gabin;;;;;;2,41
NOEL;Juliette;;;;;;9,36
MENARD;Timéo;;;;;;6,22
MEUNIER;Manon;;;;;;5,69
MARCHAND;Maël;;;;;;4,31
NICOLAS;Emma;;;;;;8,96
HUBERT;Noah;;;;;;3,06
RENAULT;Chloé;;;;;;7,51
LEMOINE;Ethan;;;;;;6,37
DUPUIS;Inès;;;;;;5,93
CHEVALIER;Noah;;;;;;4,45
BOUCHARD;Léa;;;;;;8,82
MORIN;Liam;;;;;;3,29
LECLERC;Zoé;;;;;;9,13
LACROIX;Arthur;;;;;;6,83
POIRIER;Jade;;;;;;5,28
GAUTHIER;Lucas;;;;;;4,78
ROUILLARD;Camille;;;;;;8,07
BOYER;Gabriel;;;;;;4,35
BONNIN;Louise;;;;;;8,93
GARNIER;Léo;;;;;;3,04
RENARD;Sarah;;;;;;7,68
LOUIS;Louis;;;;;;2,47
MASSON;Eva;;;;;;9,39
BRUNET;Théo;;;;;;6,01
ADAM;Clara;;;;;;5,59
JOLY;Adam;;;;;;4,18
PICARD;Juliette;;;;;;8,77
HUET;Tom;;;;;;2,88
LE GALL;Rose;;;;;;7,23
LE ROUX;Jules;;;;;;6,04
LE GOFF;Lina;;;;;;5,62
GÉRARD;Maël;;;;;;4,03
MATHIEU;Anna;;;;;;8,48
BERTRAND;Enzo;;;;;;3,67
BARREAU;Elsa;;;;;;9,17
PONS;Raphaël;;;;;;5,85
GUILLAUME;Manon;;;;;;6,52
CARON;Nathan;;;;;;4,97
MARCHAL;Emma;;;;;;8,63
LEVÊQUE;Hugo;;;;;;3,19
RIVIÈRE;Inès;;;;;;7,79
RENOU;Ethan;;;;;;2,55
MICHEL;Chloé;;;;;;9,07
GUILLOT;Noah;;;;;;6,97
LE ROY;Léa;;;;;;5,23
GILBERT;Liam;;;;;;4,89
JULIEN;Zoé;;;;;;8,26
VASSEUR;Arthur;;;;;;3,44
JOUBERT;Jade;;;;;;9,48
PICHON;Lucas;;;;;;6,73
DESCHAMPS;Camille;;;;;;5,07
LEJEUNE;Gabriel;;;;;;4,59
RENAULT;Louise;;;;;;8,84
LEJEUNE;Léo;;;;;;4,01
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
